Name	M_gas(10^13)	err_M_gas(10^13)	M_tot(10^14)	err_M_tot(10^14)	M_st(10^12)	err_M_st(10^12)
A85	7.46	0.34	5.68	0.81	6.93	0.71
A400	1	0.04	1.07	0.15	4.93	0.62
IIIZw54	1.1	0.21	1.18	0.17	3.96	0.52
A1367	2.24	0.07	2.11	0.3	4.75	0.8
MKW4	0.47	0.02	0.58	0.08	0.93	0.11
ZwCl1215	5.4	0.29	4.34	0.62	8.14	1
A1650	5.36	0.9	4.28	0.61	6.67	1.12
Coma	8.18	0.62	6.21	0.89	14	1.59
A1795	5.57	0.14	4.46	0.63	6.99	1.04
MKW8	1.02	0.14	1.1	0.16	1.76	0.26
A2029	9.17	0.33	6.81	0.97	9.49	1.22
A2052	2.13	0.11	2.03	0.29	4.16	0.42
MKW3S	2.44	0.1	2.29	0.33	9.39	0.8
A2065	4.12	1.29	3.35	0.48	7.49	0.57
A2142	15.1	0.88	10.26	1.47	11	0.96
A2147	4.35	0.43	3.63	0.52	6.98	0.85
A2199	2.9	0.23	2.64	0.38	4.72	0.56
A2255	5.13	0.2	4.08	0.58	6.18	0.79
A2589	1.93	0.12	1.88	0.27	4.19	0.43
